query,template_query_fuzzy
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
what will be daily forecast of profit in dollars,what will be the  profit in dollars
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
forecast of active facilities,Forecast of  facilities
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did worked hours drop on nov 6 2022,Why worked hours changed in nov 6 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did worked hours changed in june 2023,Why worked hours changed in june 2023
why did profit for texas change in quarter2 2023 vs quarter1 2023,Why profit of texas changed in quarter2 2023 vs quarter1 2023
why did profit for tennessee change in quarter2 2023 vs quarter1 2023,Why profit of tennessee changed in quarter2 2023 vs quarter1 2023
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did profit change in may 2023,Why profit changed in may 2023
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did number of worked hours changed in quarter2 2022,Why number of worked hours changed in quarter2 2022
why there is change in requested hours for texas in jan 2023,Diagnose requested hours of texas change in jan 2023
why there is change in requested hours for illinois in oct 2022,Diagnose requested hours of illinois change in oct 2022
why worked hours changed for texas in jan 2023,Why worked hours changed in jan 2023
why worked hours changed for texas in nov 2022,Why worked hours changed in nov 2022
why did profit of texas changed in quarter2 2023 vs quarter1 2023,Why profit of texas changed in quarter2 2023 vs quarter1 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in june 2023,Why requested hours changed in june 2023
why did profit changed for cna in last 3 months,Why profit changed in last 3 months
why did profit change in may 2023,Why profit changed in may 2023
diagnose requested hours change in june 2023,Diagnose requested hours change in june 2023
why did profit for texas change in quarter2 2023 vs quarter1 2023,Why profit of texas changed in quarter2 2023 vs quarter1 2023
why did profit for tennessee change in quarter2 2023 vs quarter1 2023,Why profit of tennessee changed in quarter2 2023 vs quarter1 2023
why profit of america denver and yes changed in last day,Why profit of yes and  changed in last day
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate change in 2021,Why fill rate changed in 2021
why did fill rate change in 2022,Why fill rate changed in 2022
why did fill rate change in 2023,Why fill rate changed in 2023
why did trend of fill rate decreased in 2022,Why fill rate changed in 2022
why did profit changed in may 2023,Why profit changed in may 2023
why did profit changed in may 2023,Why profit changed in may 2023
why did fill rate decreased in 2022,Why fill rate changed in 2022
why fill rate decreased in 2022,Why fill rate changed in 2022
why fill rate decreased in 2022,Why fill rate changed in 2022
why filled hours changed in 2022,Why filled hours changed in 2022
why worked hours changed in 2022,Why worked hours changed in 2022
why did fill rate change in 2022,Why fill rate changed in 2022
why did open shift change in 2022,Why open shift changed in 2022
why did open shifts change in 2022,Why open shifts changed in 2022
why did profit for tennessee change in quarter2 2023 vs quarter1 2023,Why profit of tennessee changed in quarter2 2023 vs quarter1 2023
why did fill rate decreased in 2022,Why fill rate changed in 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did fill rate decreased in 2023,Why fill rate changed in 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
kda of profit,What are the key drivers of profit
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did profit changed in may 2023,Why profit changed in may 2023
why did profit changed in may 2023,Why profit changed in may 2023
why did profit changed in april 2023,Why profit changed in april 2023
why did profit changed in dec 2022,Why profit changed in dec 2022
why did profit changed in dec 2022,Why profit changed in dec 2022
why fill rate decreased in 2022,Why fill rate changed in 2022
why did profit change for may 2023,Why profit changed in may 2023
why did profit changed in may 2023,Why profit changed in may 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
kda of profit,What are the key drivers of profit
why did profit changed in july 2023,Why profit changed in july 2023
why did profit changed in july 2022,Why profit changed in july 2022
why did profit changed in june 2023,Why profit changed in june 2023
why did profit changed in july 2021,Why profit changed in july 2021
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did profit change in may 2023,Why profit changed in may 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did profit changed in july 2023,Why profit changed in july 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did worked hours changed in december 2022,Why worked hours changed in december 2022
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did profit changed in 2023,Why profit changed in 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours change in quarter1 2022 vs quarter1 2021,Why requested hours changed in quarter1 2022 vs quarter1 2021
why did profit increase in september 2022 vs june 2021,Why profit changed in september 2022 vs june 2021
why did profit decrease for texas for april 2023 vs april 2023,Why profit of texas changed in april 2023 vs april 2023
why did profit decrease for texas for april 2023 vs april 2022,Why profit of texas changed in april 2023 vs april 2022
• what is weekly trend of requested hours and worked hours • what is number of onboard completions in last 7 days • what is monthly growth of worked hours for cna • top 5 states by profit for quarter3 2022 • what is trend of profit for texas for 2022 • why did profit decrease for texas for sep 2022 vs july 2022,Diagnose worked hours of states texas texas and  change in for quarter3
• what is weekly trend of requested hours and worked hours • what is number of onboard completions in last 7 days • what is monthly growth of worked hours for cna • top 5 states by profit for quarter3 2022 • what is trend of profit for texas for 2022 • why did profit decrease for texas for sep 2022 vs july 2022,Diagnose number of onboard completions of texas change in for sep 2022 vs july 2022
what is weekly trend of requested hours and worked hours • what is number of onboard completions in last 7 days • what is monthly growth of worked hours for cna • top 5 states by profit for quarter3 2022 • what is trend of profit for texas for 2022 • why did profit decrease for texas for sep 2022 vs july 2022,Why worked hours of states texas texas and  changed in for sep 2022 vs july 2022
what is weekly trend of requested hours and worked hours • what is number of onboard completions in last 7 days • what is monthly growth of worked hours for cna • top 5 states by profit for quarter3 2022 • what is trend of profit for texas for 2022 • why did profit decrease for texas for sep 2022 vs july 2022,Diagnose number of onboard completions of texas change in for sep 2022 vs july 2022
why did profit changed for texas in quarter1 2023 vs year ago,Why profit changed in quarter1 2023 vs year ago
why did profit changed in quarter1 2023 vs year ago,Why profit changed in quarter1 2023 vs year ago
why did profit changed in july 2023 vs year ago,Why profit changed in july 2023 vs year ago
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did profit decrease in from 24 june 2023 to june 2023,Why profit changed in from 24 june 2023 to june 2023
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in texas in july 2023 vs year ago,Why profit changed in july 2023 vs year ago
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did profit changed in july 2023 vs year ago,Why profit changed in july 2023 vs year ago
why did profit changed in march 2023,Why profit changed in march 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did weekly trend of profit decrease in june 2023 for dallas and nashville,Why profit changed in june 2023
why did weekly trend of profit decrease in june 2023,Why profit changed in june 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
what are drivers of profit in dollars,What are the drivers of profit in dollars
why are hours filled decreasing,Why hours filled changed in 
diagnose worked hours decline in 2023,Diagnose worked hours change in 2023
what are key drivers of profit,What are the key drivers of profit
why did active facilities decrease in april 2023,Why facilities changed in april 2023
why did fill rate changed in march 2022,Why fill rate changed in march 2022
diagnose worked hours decline in 2023,Diagnose worked hours change in 2023
why are hours filled decreasing,Why hours filled changed in 
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
what are drivers of profit in dollars,What are the drivers of profit in dollars
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did fill rate changed in march 2022,Why fill rate changed in march 2022
diagnose worked hours decline in 2023,Diagnose worked hours change in 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
what are drivers of profit in dollars,What are the drivers of profit in dollars
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
diagnose number of new facilities change in last day,Diagnose number of new facilities change in last day
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did profit for texas change in quarter2 2023 vs quarter1 2023,Why profit of texas changed in quarter2 2023 vs quarter1 2023
why did profit for texas change in quarter2 2023 vs quarter1 2023,Why profit of texas changed in quarter2 2023 vs quarter1 2023
diagnose number of new facilities change in last day,Diagnose number of new facilities change in last day
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did number of providers change in quarter2 2022,Why number of providers changed in quarter2 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did profit change for may 2023,Why profit changed in may 2023
why did profit changed in april 2023,Why profit changed in april 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did profit changed in june 2023,Why profit changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did profit changed in july 2023,Why profit changed in july 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did scheduled hours change from may 2022 to july 2022,Why scheduled hours changed in from may 2022 to july 2022
why did open shifts changed in last 2 weeks,Why open shifts changed in last 2 weeks
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
forecast requested shifts,Forecast of  requested shifts
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
forecast of active facility,Forecast of  facility
forecast of requested shifts,Forecast of  requested shifts
forecast of requested hours,Forecast of  requested hours
why did scheduled hours increase for week of 2023 - 05 - 14,Why scheduled hours changed in 2023 - 05 - 14
why did scheduled hours increase for week of 14 - 05 - 2023,Why scheduled hours changed in 14 - 05 - 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did profit in long term care decrease in june 2023,Why profit of long term care changed in june 2023
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in march 2023,Why profit changed in march 2023
